FLOOR,BEDROOM,BATHROOM,LAND AREA (sqft),ROAD ACCESS (ft),PROPERTY AGE,HAS_PARKING,HAS_BALCONY,HAS_GARDEN,HAS_MODULAR_KITCHEN,LOCATION_ENCODED,FACING_ENCODED,AREA_PER_BEDROOM,TOTAL_ROOMS,IS_NEW,CITY_TIER,LOCATION_PRICE_TIER,LOCATION_PREMIUM_RATIO
2.5,6.0,4.0,3080.25,13.0,17.0,1,1,1,0,29527777.777777776,0,513.375,10.0,0,3,1,0.8895970130037338
2.5,5.0,4.0,1095.2,15.0,11.0,1,0,0,0,29250000.0,1,219.04,9.0,0,3,1,0.8812282734646583
2.5,5.0,5.0,2156.175,12.0,4.0,1,1,0,0,47632203.38983051,4,431.235,10.0,0,3,2,1.4350374138303514
2.5,5.0,4.0,1026.75,13.0,6.0,1,0,0,0,22600000.0,4,205.35,9.0,0,3,1,0.680880648899189
2.5,6.0,4.0,1060.975,13.0,12.0,1,1,0,0,40300000.0,4,176.82916666666665,10.0,0,3,2,1.2141367323290848
2.5,5.0,5.0,2053.5,15.0,6.0,1,1,0,0,67500000.0,1,410.7,10.0,0,3,3,2.0336037079953653
3.0,6.0,5.0,1197.875,13.0,12.0,1,0,1,0,29527777.777777776,4,199.64583333333331,11.0,0,3,1,0.8895970130037338
3.5,6.0,4.0,1369.0,20.0,4.0,1,0,0,0,32500000.0,4,228.16666666666663,10.0,0,3,2,0.9791425260718425
2.5,4.0,5.0,2464.2000000000003,13.0,11.0,1,1,1,0,38452173.91304348,4,616.0500000000001,9.0,0,3,2,1.1584664214821907
2.5,6.0,3.0,2087.725,12.0,6.0,1,0,1,0,43187500.0,7,347.95416666666665,9.0,0,3,2,1.3011297798377754
1.5,5.0,4.0,1369.0,13.0,12.0,1,0,0,0,29527777.777777776,0,273.8,9.0,0,3,1,0.8895970130037338
2.5,8.0,5.0,2738.0,13.0,5.0,1,0,1,0,48200000.0,0,342.25,13.0,0,3,2,1.4521436848203941
2.5,5.0,4.0,1403.225,13.0,10.0,1,1,0,0,28750000.0,6,280.645,9.0,0,2,1,0.8661645422943223
2.5,6.0,3.0,1369.0,13.0,13.0,1,0,0,0,51359210.526315786,4,228.16666666666663,9.0,0,3,2,1.547322680978228
2.5,6.0,4.0,1095.2,13.0,3.0,1,1,1,0,28160000.0,4,182.53333333333333,10.0,0,3,1,0.8483893395133257
3.5,6.0,7.0,1437.45,13.0,5.0,1,1,0,1,43187500.0,5,239.575,13.0,0,3,2,1.3011297798377754
3.5,5.0,4.0,2053.5,10.0,8.0,1,0,1,1,27269230.769230768,0,410.7,9.0,0,3,1,0.8215527230590962
2.0,5.0,5.0,1026.75,14.0,12.0,1,0,1,1,37055555.55555555,0,205.35,10.0,0,3,2,1.1163898545126818
2.5,5.0,5.0,1779.7,13.0,7.0,1,0,0,0,47632203.38983051,1,355.94,10.0,0,3,2,1.4350374138303514
2.5,6.0,5.0,1745.475,13.0,14.0,0,0,0,0,27269230.769230768,5,290.9125,11.0,0,3,1,0.8215527230590962
3.0,6.0,3.0,1026.75,13.0,3.0,1,1,0,0,26142857.14285714,2,171.125,9.0,0,3,1,0.7876179440489985
2.5,6.0,5.0,1711.25,18.0,3.0,1,0,0,0,38452173.91304348,4,285.2083333333333,11.0,0,3,2,1.1584664214821907
3.0,6.0,5.0,1437.45,12.0,12.0,1,1,0,0,44153846.15384615,4,239.575,11.0,0,3,2,1.3302433371958287
2.0,5.0,2.0,1369.0,20.0,6.0,1,1,1,0,15000000.0,4,273.8,7.0,0,3,1,0.45191193511008115
3.0,5.0,5.0,1711.25,12.0,7.0,1,1,0,0,47632203.38983051,0,342.25,10.0,0,3,2,1.4350374138303514
2.0,5.0,4.0,1711.25,13.0,6.0,1,0,0,0,41000000.0,1,342.25,9.0,0,3,2,1.2352259559675551
2.5,6.0,4.0,1369.0,16.0,12.0,1,0,0,0,17794117.647058822,4,228.16666666666663,10.0,0,3,1,0.5360916092972531
1.0,2.0,1.0,1369.0,13.0,8.0,0,1,0,1,16850000.0,0,684.5,3.0,0,2,1,0.5076477404403245
3.0,7.0,4.0,1197.875,14.0,14.0,1,0,0,0,28500000.0,6,171.125,11.0,0,3,1,0.8586326767091542
2.5,6.0,4.0,1711.25,14.0,12.0,1,0,0,0,42730769.23076923,0,285.2083333333333,10.0,0,3,2,1.2873696407879491
3.0,4.0,4.0,1026.75,13.0,10.0,1,1,0,0,29527777.777777776,7,256.6875,8.0,0,3,1,0.8895970130037338
2.5,6.0,5.0,1095.2,13.0,12.0,1,0,0,1,27633333.33333333,0,182.53333333333333,11.0,0,3,1,0.8325222093472383
3.0,7.0,4.0,1026.75,13.0,12.0,0,0,0,0,22500000.0,7,146.67857142857142,11.0,0,3,1,0.6778679026651218
2.5,7.0,3.0,1026.75,13.0,10.0,1,0,0,0,25500000.0,1,146.67857142857142,10.0,0,3,1,0.7682502896871379
3.0,6.0,4.0,2053.5,13.0,24.0,1,0,0,1,32500000.0,1,342.25,10.0,0,3,2,0.9791425260718425
